species,body_mass_g,sex
Gentoo,4500,FEMALE
Gentoo,5700,MALE
Gentoo,4450,FEMALE
Gentoo,5700,MALE
Gentoo,5400,MALE
Gentoo,4550,FEMALE
Gentoo,4800,FEMALE
Gentoo,5200,MALE
Gentoo,4400,FEMALE
Gentoo,5150,MALE
Gentoo,4650,FEMALE
Gentoo,5550,MALE
Gentoo,4650,FEMALE
Gentoo,5850,MALE
Gentoo,4200,FEMALE
Gentoo,5850,MALE
Gentoo,4150,FEMALE
Gentoo,6300,MALE
Gentoo,4800,FEMALE
Gentoo,5350,MALE
Gentoo,5700,MALE
Gentoo,5000,FEMALE
Gentoo,4400,FEMALE
Gentoo,5050,MALE
Gentoo,5000,FEMALE
Gentoo,5100,MALE
Gentoo,5650,MALE
Gentoo,4600,FEMALE
Gentoo,5550,MALE
Gentoo,5250,MALE
Gentoo,4700,FEMALE
Gentoo,5050,FEMALE
Gentoo,6050,MALE
Gentoo,5150,FEMALE
Gentoo,5400,MALE
Gentoo,4950,FEMALE
Gentoo,5250,MALE
Gentoo,4350,FEMALE
Gentoo,5350,MALE
Gentoo,3950,FEMALE
Gentoo,5700,MALE
Gentoo,4300,FEMALE
Gentoo,4750,MALE
Gentoo,5550,MALE
Gentoo,4900,FEMALE
Gentoo,4200,FEMALE
Gentoo,5400,MALE
Gentoo,5100,FEMALE
Gentoo,5300,MALE
Gentoo,4850,FEMALE
Gentoo,5300,MALE
Gentoo,4400,FEMALE
Gentoo,5000,MALE
Gentoo,4900,FEMALE
Gentoo,5050,MALE
Gentoo,4300,FEMALE
Gentoo,5000,MALE
Gentoo,4450,FEMALE
Gentoo,5550,MALE
Gentoo,4200,FEMALE
Gentoo,5300,MALE
Gentoo,4400,FEMALE
Gentoo,5650,MALE
Gentoo,4700,FEMALE
Gentoo,5700,MALE
Gentoo,5800,MALE
Gentoo,4700,FEMALE
Gentoo,5550,MALE
Gentoo,4750,FEMALE
Gentoo,5000,MALE
Gentoo,5100,MALE
Gentoo,5200,FEMALE
Gentoo,4700,FEMALE
Gentoo,5800,MALE
Gentoo,4600,FEMALE
Gentoo,6000,MALE
Gentoo,4750,FEMALE
Gentoo,5950,MALE
Gentoo,4625,FEMALE
Gentoo,5450,MALE
Gentoo,4725,FEMALE
Gentoo,5350,MALE
Gentoo,4750,FEMALE
Gentoo,5600,MALE
Gentoo,4600,FEMALE
Gentoo,5300,MALE
Gentoo,4875,FEMALE
Gentoo,5550,MALE
Gentoo,4950,FEMALE
Gentoo,5400,MALE
Gentoo,4750,FEMALE
Gentoo,5650,MALE
Gentoo,4850,FEMALE
Gentoo,5200,MALE
Gentoo,4925,MALE
Gentoo,4875,FEMALE
Gentoo,4625,FEMALE
Gentoo,5250,MALE
Gentoo,4850,FEMALE
Gentoo,5600,MALE
Gentoo,4975,FEMALE
Gentoo,5500,MALE
Gentoo,5500,MALE
Gentoo,4700,FEMALE
Gentoo,5500,MALE
Gentoo,4575,FEMALE
Gentoo,5500,MALE
Gentoo,5000,FEMALE
Gentoo,5950,MALE
Gentoo,4650,FEMALE
Gentoo,5500,MALE
Gentoo,4375,FEMALE
Gentoo,5850,MALE
Gentoo,6000,MALE
Gentoo,4925,FEMALE
Gentoo,4850,FEMALE
Gentoo,5750,MALE
Gentoo,5200,FEMALE
Gentoo,5400,MALE
